"","siteID","siteuse","replsite","X","Y","stratum","wgt","ip","caty","ARCID","UP_CELLS","geometry"
"1","Site-01","Base","None",-1.2747683537202,43.2081016870528,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.2747683537202, 43.2081016870528)
"2","Site-02","Base","None",-1.4562500000002,43.4092201006334,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.4562500000002, 43.4092201006334)
"3","Site-03","Base","None",-1.09911883808661,43.0949521714192,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.09911883808661, 43.0949521714192)
"4","Site-04","Base","None",-1.28306245808182,43.2122291247478,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.28306245808182, 43.2122291247478)
"5","Site-05","Base","None",-1.30208333333354,43.2365868484862,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.30208333333354, 43.2365868484862)
"6","Site-06","Base","None",-1.42989830615681,43.3798983061561,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.42989830615681, 43.3798983061561)
"7","Site-07","Base","None",-1.13814858307127,43.1214819164039,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.13814858307127, 43.1214819164039)
"8","Site-08","Base","None",-1.42291666666687,43.0785187711031,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.42291666666687, 43.0785187711031)
"9","Site-09","Base","None",-1.19375000000021,43.0858160911044,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.19375000000021, 43.0858160911044)
"10","Site-10","Base","None",-1.38958333333354,43.3356747978945,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.38958333333354, 43.3356747978945)
"11","Site-11","Base","None",-1.25613798637509,43.2604166666662,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.25613798637509, 43.2604166666662)
"12","Site-12","Base","None",-1.14940714673911,43.1020833333328,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.14940714673911, 43.1020833333328)
"13","Site-13","Base","None",-1.27433394758763,43.2535006142536,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.27433394758763, 43.2535006142536)
"14","Site-14","Base","None",-1.36930405863126,43.1306959413684,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.36930405863126, 43.1306959413684)
"15","Site-15","Base","None",-1.47291666666687,43.4834064357186,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.47291666666687, 43.4834064357186)
"16","Site-16","Base","None",-1.38471549065921,43.1236178426738,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.38471549065921, 43.1236178426738)
"17","Site-17","Base","None",-1.48981501043221,43.5185183229008,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.48981501043221, 43.5185183229008)
"18","Site-18","Base","None",-1.41667151969397,43.1041618136391,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.41667151969397, 43.1041618136391)
"19","Site-19","Base","None",-1.35114687595164,43.1738531240481,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.35114687595164, 43.1738531240481)
"20","Site-20","Base","None",-1.44791666666687,43.3636148780125,"None",9622.90248808529,0.000103918750214726,"None",264699,107,c(-1.44791666666687, 43.3636148780125)
