"siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","CODE_12","libelle_fr","AREA_HA","geometry","color"
"DM_Rom_Jul-01","Base","None",-61.0795761874718,16.3042744559639,"1120",61190920.2072694,1.63422938666839e-08,"None","1120","Tissu urbain discontinu",18357.276057,c(705187.914491877, 1803558.6382612),"#440154FF"
"DM_Rom_Jul-02","Base","None",-61.7015152728179,16.3090129872133,"1120",61190920.2072694,1.63422938666839e-08,"None","1120","Tissu urbain discontinu",18357.276057,c(638721.460490072, 1803558.6382612),"#440154FF"
"DM_Rom_Jul-03","Base","None",-61.5786036151257,16.100127728626,"1120",61190920.2072694,1.63422938666839e-08,"None","1120","Tissu urbain discontinu",18357.276057,c(652014.751290433, 1780533.98319518),"#440154FF"
"DM_Rom_Jul-04","Base","None",-61.557568274178,16.2518541733375,"1210",2687013.15875934,3.72160440204813e-07,"None","1210","Zones industrielles ou commerciales et installations publiques",806.10395,c(654147.062045599, 1797337.51457573),"#481F70FF"
"DM_Rom_Jul-05","Base","None",-61.595767639518,16.007958022231,"1210",2687013.15875934,3.72160440204813e-07,"None","1210","Zones industrielles ou commerciales et installations publiques",806.10395,c(650247.919689209, 1770323.46390688),"#481F70FF"
"DM_Rom_Jul-06","Base","None",-61.5146290507798,16.4172245869725,"1210",2687013.15875934,3.72160440204813e-07,"None","1210","Zones industrielles ou commerciales et installations publiques",806.10395,c(658603.224738616, 1815668.47752958),"#481F70FF"
"DM_Rom_Jul-07","Base","None",-61.4362665649845,16.4501979492206,"2112",52439016.0127529,1.90697704883861e-08,"None","2112","Canne à sucre",15731.7048,c(666944.058775736, 1819380.05778692),"#443A83FF"
"DM_Rom_Jul-08","Base","None",-61.4596167790526,16.411847171499,"2112",52439016.0127529,1.90697704883861e-08,"None","2112","Canne à sucre",15731.7048,c(664482.959245581, 1815117.30835821),"#443A83FF"
"DM_Rom_Jul-09","Base","None",-61.7252443000633,16.317308179764,"2112",52439016.0127529,1.90697704883861e-08,"None","2112","Canne à sucre",15731.7048,c(636180.314648793, 1804460.43478643),"#443A83FF"
"DM_Rom_Jul-10","Base","None",-61.5702505957627,16.0735232953365,"2222",10224128.0830685,9.78078513762005e-08,"None","2222","Bananeraies",3067.238424,c(652928.601370777, 1777596.51064617),"#3B528BFF"
